company_name,property_title,property_address,postcode,house_number,state,country,property_type,property_description,property_map_coordinates,property_size,date_added,property_sale_price,property_amenities,property_images,property_rent_details,property_link,agent_name,agent_name2,agent_telephone,agent_telephone2,agent_email,agent_email2,agent_address,property_sale_type
CBRE,Forge Bankside 105 Sumner Street  ,Forge Bankside 105 Sumner Street  London SE1 9HZ, SE1 9HZ,2,London,UK,Office,"Inspired by its industrial past and built for the future it is Landsec's first net zero carbon development.  The Forge features two highly sustainable boutique office buildings surrounding a public courtyard, this vibrant new space, is ready for you to put your stamp on it.

The Bronze building (c.90,000 sq ft) and Phosphor building (c.49,000 sq ft) will offer Grade A office accommodation with exceptional end of trip facilities.

Located south of the River Thames in the vibrant Southwark/Bankside market.  A place of world class food and traditional markets. The building is conveniently located for London Bridge, Blackfriars,  Cannon Street and Waterloo mainline and underground stations.",,"2,831 to 64,018 sqft",,Price On Application,"['4-Pipe Fan Coil Air Conditioning', 'Raised Floors', 'LED Lighting', 'Lifts', 'Terrace Bronze Levels 4 & 7', 'Terrace Phosphor Levels 6 & 8', '230 Lockers', '17 Showers', '230 Bicycle Racks', 'Net Zero Carbon Building', '2.75 Floor To Ceiling Height', '1:8 sq m Occupancy Ratio', 'On Site Cafe', '4-Pipe Fan Coil Air Conditioning', 'Raised Floors', 'LED Lighting', 'Lifts', 'Terrace Bronze Levels 4 & 7', 'Terrace Phosphor Levels 6 & 8', '230 Lockers', '17 Showers', '230 Bicycle Racks', 'Net Zero Carbon Building', '2.75 Floor To Ceiling Height', '1:8 sq m Occupancy Ratio', 'On Site Cafe']","['https://www.cbre.co.uk/resources/fileassets/GB-Plus-336309/6e81bc36/527ffd11-e22f-4b75-9bbe-1903b6bdf552_Photo_1_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-336309/93030f99/377d7c83-2a42-46ee-8346-56866d91c72e_Photo_2_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-336309/e88cddc6/8126096f-ab67-49ec-b790-006248a05f35_Photo_3_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-336309/8f3f298e/5ccb208a-407e-4a94-ab15-bd03010053c1_Photo_4_small.jpg']",Lease type New For Rent Price On Application Business Rates £31.55/sqft/pa (estimated for the year ending 2025) Service Charge £17.76/sqft/pa (estimated for the year ending 2024) Estate Charge £1.13/sqft/pa (estimated for the year ending 2024) Lease type New For Rent Price On Application Business Rates £31.55/sqft/pa (estimated for the year ending 2025) Service Charge £17.76/sqft/pa (estimated for the year ending 2024) Estate Charge £1.13/sqft/pa (estimated for the year ending 2024),https://www.cbre.co.uk/property-search/office-space/listings/details/GB-Plus-336309/forge-bankside-105-sumner-street-london-se1-9hz,Hannah Grint,Luke Hacking,Hannah Grint,Luke Hacking,Hannah.Grint@cbre.com,luke.hacking@cbre.com,Forge Bankside 105 Sumner Street  London SE1 9HZ,For Rent
CBRE,  53 Parker Street  ,  53 Parker Street  London WC2B 5TP, WC2B 5TP,3,London,UK,Office,"Offering fully fitted, plug & play office space at 53 Parker Street. The 5th floor benefits from a design-led, creative fit out.

Perfectly located in Covent Garden, the building is encompassed by fantastic bars, restaurants and theatres as well as great connectivity with both Holborn and Covent Garden stations nearby.",,"1,683sqft",,£69.50/sqft/pa,"['Perimeter Air Conditioning', 'Raised Floors', 'LED Lighting', '4 Person Lifts', 'Plug & Play Fit Out', 'Perimeter Air Conditioning', 'Raised Floors', 'LED Lighting', '4 Person Lifts', 'Plug & Play Fit Out']","['https://www.cbre.co.uk/resources/fileassets/GB-Plus-490264/31be5944/f3fd2816-6ef9-4190-8643-c04407702920_Photo_1_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-490264/65b4f0a6/abb6b004-878f-4b22-a173-696ea7bdaa55_Photo_2_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-490264/861d341f/eaa882f4-13bd-4648-b1b4-c2ea8926769d_Photo_3_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-490264/81601678/6ca61b64-ee10-419c-97d7-dd1c14612f32_Photo_4_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-490264/3443c324/f9038b84-ca42-41a9-86c8-172da7553042_Photo_5_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-490264/61131aed/ef3524e2-f96f-415e-89de-b7c9a0d40444_Photo_6_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-490264/8a69fc11/a17a3eee-0dac-4735-acec-42272fbfb42e_Photo_7_small.jpg']",Lease type New For Rent £69.50/sqft/pa Business Rates £21.75/sqft/pa (estimated for the year ending 2025) Service Charge £7.47/sqft/pa (estimated for the year ending 2024) Lease type New For Rent £69.50/sqft/pa Business Rates £21.75/sqft/pa (estimated for the year ending 2025) Service Charge £7.47/sqft/pa (estimated for the year ending 2024),https://www.cbre.co.uk/property-search/office-space/listings/details/GB-Plus-490264/53-parker-street-london-wc2b-5tp,Alex Kerr,Nathalie Spink,Alex Kerr,Nathalie Spink,Alex.Kerr@cbre.com,Nathalie.Spink@cbre.com,  53 Parker Street  London WC2B 5TP,For Rent
CBRE,  80 Strand  ,  80 Strand  London WC2R 0ZA, WC2R 0ZA,4,London,UK,Office,"80 Strand. Reimagined. Completed in Q3 2021, 226,000 sq ft of contemporary office space will be delivered across multiple floors. Alongside this, a complete refurbishment, in collaboration with the landlord, will include M&E upgrades, a remodelled main reception, enhanced communal spaces, new shower and cycle facilities and wellness improvements throughout. Located on the Strand, and just four minutes’ walk to Covent Garden, the building benefits from two entrances – one off the Strand via a private courtyard, the other off Victoria Embankment Gardens leading to the river. On the Strand level, there is an opportunity for a private entrance. Five underground stations and two National Rail stations are within a twelve-minute walk providing extensive travel links. The upper floors benefit from private terraces with some of the best views in London, from the City to Westminster.",,"8,793 to 36,655 sqft",,Price On Application,"['4-Pipe Fan Coil Air Conditioning', 'Raised Floors', '15 person Lifts', '2 Goods Lift', '530 Lockers', 'Gold WiredScore', '2.8 Floor To Ceiling Height', '1:8 Occupancy Ratio', 'On Site Cafe', '38 Showers', 'Very Good BREEAM Rating', '300 Bicycle Racks', 'Terrace', '4-Pipe Fan Coil Air Conditioning', 'Raised Floors', '15 person Lifts', '2 Goods Lift', '530 Lockers', 'Gold WiredScore', '2.8 Floor To Ceiling Height', '1:8 Occupancy Ratio', 'On Site Cafe', '38 Showers', 'Very Good BREEAM Rating', '300 Bicycle Racks', 'Terrace']","['https://www.cbre.co.uk/resources/fileassets/GB-Plus-470896/7ff94752/b1f5f285-8922-4e13-8431-6a5bc8f00e20_Photo_1_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-470896/ca7c777b/79f7cb74-b10a-489f-a993-d72a958cb07e_Photo_2_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-470896/82b9f511/1be2e736-e9cb-48a3-afef-0559e7e0ffed_Photo_3_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-470896/25490024/9c0e9ec6-6e5a-4242-a893-a2ad42856d6a_Photo_4_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-470896/a622a54e/38dfda6d-10dd-4b7a-9a5e-2396e710393e_Photo_5_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-470896/59753b1e/193c560b-ee36-44d5-bd2a-c2f8b0c9fd21_Photo_6_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-470896/bdafe557/7992b3e9-1d16-49e2-97ac-4c42202a3e71_Photo_7_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-470896/2473457f/dad69635-a9c4-4120-a67f-2dd1c00ae914_Photo_8_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-470896/340b12de/e2de95e6-a9d5-4612-8b3c-935624bed24b_Photo_9_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-470896/8b9fbbdf/b4408168-5066-49de-91c0-cf881f7de0f4_Photo_10_small.jpg']",Lease type Sublease For Rent Price On Application Business Rates £27.50/sqft/pa (estimated for the year ending 2025) Service Charge £16.33/sqft/pa (estimated for the year ending 2024) Lease type Sublease For Rent Price On Application Business Rates £27.50/sqft/pa (estimated for the year ending 2025) Service Charge £16.33/sqft/pa (estimated for the year ending 2024),https://www.cbre.co.uk/property-search/office-space/listings/details/GB-Plus-470896/80-strand-london-wc2r-0za,Matt Chicken,Alex Kerr,Matt Chicken,Alex Kerr,matt.chicken@cbre.com,Alex.Kerr@cbre.com,  80 Strand  London WC2R 0ZA,For Rent
CBRE,  11 Belgrave Road  ,  11 Belgrave Road  London SW1V 1RB, SW1V 1RB,5,London,UK,Office,"A living Landmark - a new destination headquarters with next generation sustainability at its heart, moments from Victoria Station. A charming neighbourhood feel, in the heart of Victoria. 11 Belgrave is a 3 minute walk from Victoria station's exceptional city and regional connections. In addition, discover the many restaurants, bars, cafes and more on nearby Wilton Road, with Belgravia and Pimlico just moments away.",,"6,920 to 94,796 sqft",,Price On Application,"['VRF Air Conditioning', 'Raised Floors', '2.7m to 3.1m Floor To Ceiling Height', 'LED Lighting', '3 x 17 Person Lifts', '1 x 2,000kg Goods Lift', '178 Bicycle Racks', '19 Showers', '177 Lockers', 'Terrace 7th & 6th Floors Private', 'Communal Roof Terrace', 'Targeting Outstanding BREEAM Rating', 'Targeting Platinum SmartScore', 'Targeting Platinum WELL Certification', 'Targeting A EPC', 'Targeting Platinum WiredScore', 'NABERS UK Rating Targeting 5 Stars', 'Targeting Operational Net Zero Carbon Building', 'VRF Air Conditioning', 'Raised Floors', '2.7m to 3.1m Floor To Ceiling Height', 'LED Lighting', '3 x 17 Person Lifts', '1 x 2,000kg Goods Lift', '178 Bicycle Racks', '19 Showers', '177 Lockers', 'Terrace 7th & 6th Floors Private', 'Communal Roof Terrace', 'Targeting Outstanding BREEAM Rating', 'Targeting Platinum SmartScore', 'Targeting Platinum WELL Certification', 'Targeting A EPC', 'Targeting Platinum WiredScore', 'NABERS UK Rating Targeting 5 Stars', 'Targeting Operational Net Zero Carbon Building']","['https://www.cbre.co.uk/resources/fileassets/GB-Plus-479974/807c7010/b29f4179-28a8-4f92-8f42-d80597fb8ae5_Photo_1_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-479974/49305bc0/d46f1478-2344-4d2a-972a-5ec023171d34_Photo_2_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-479974/ee20cf1c/f78ff970-ed07-4c46-993c-edc7b051aae8_Photo_3_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-479974/677234e0/5116359c-926f-4697-987d-6eaffb0e11b9_Photo_4_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-479974/3d5a5299/c5464c37-4eda-4a1f-b964-af131cbdd0d3_Photo_5_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-479974/cbc2bff1/8e4daa46-d464-478b-adc4-b4c2dec33b80_Photo_6_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-479974/4425ca1f/00d1f474-d196-40d2-b784-8bc044c76642_Photo_7_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-479974/abb3c334/30beafb6-f60f-4e24-8288-55d2cb9c8020_Photo_8_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-479974/a644d5ca/3880ce3c-409b-4294-8473-25df04685adc_Photo_9_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-479974/3c320d06/75cc5caf-b0cf-497a-9a54-415f260b3f99_Photo_10_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-479974/24515a75/0fee907d-55d2-47eb-bf38-b1372dcd9d1b_Photo_11_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-479974/7462aa8a/e0442c97-121f-47d3-89e2-e0d601f0c87d_Photo_12_small.jpg']",Lease type New For Rent Price On Application Lease type New For Rent Price On Application,https://www.cbre.co.uk/property-search/office-space/listings/details/GB-Plus-479974/11-belgrave-road-london-sw1v-1rb,Andrew Monighan,Matt Chicken,Andrew Monighan,Matt Chicken,Andrew.Monighan@cbre.com,matt.chicken@cbre.com,  11 Belgrave Road  London SW1V 1RB,For Rent
CBRE,  7 Swallow Place  ,  7 Swallow Place  London W1B 2AG, W1B 2AG,8,London,UK,Office,"7 Swallow Place offers 18,626 sq ft of newly refurbished office space nestled between stylish Mayfair and vibrant Soho. A contemporary, bright reception welcomes you through to the office accommodation over six floors with a communal space and access to an impressive terrace on the 6th floor of 5 Swallow Place. The building is a short stroll from Oxford Circus which provides excellent connections with direct trains to London’s key underground and national rail stations. 

Rent is inclusive of the service charge.",,"5,402 to 11,600 sqft",,£125/sqft/pa,"['4-Pipe Fan Coil Air Conditioning', 'LED Lighting', '2 Lifts', 'Bicycle Racks', 'Terrace Communal Roof Terrace At 5 Swallow Place', '4-Pipe Fan Coil Air Conditioning', 'LED Lighting', '2 Lifts', 'Bicycle Racks', 'Terrace Communal Roof Terrace At 5 Swallow Place']","['https://www.cbre.co.uk/resources/fileassets/GB-Plus-499148/9c9119fc/fd6d1203-5a05-4bb1-98a1-d59e1b461ea2_Photo_1_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-499148/0b04e961/4eac2a67-2e8d-4e85-bf80-09e7999d01c3_Photo_2_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-499148/059e5f6e/ec0be84d-fee9-4917-a7dc-16be52079467_Photo_3_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-499148/3a81050d/6e3215ac-7816-4d1d-942d-2bb9defbea79_Photo_4_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-499148/9ef32b01/65933598-3d5d-43a2-84aa-f40e7e324f97_Photo_5_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-499148/0a593876/d3f85ae4-e25c-44b1-b682-010df4801484_Photo_6_small.jpg']",Lease type New For Rent £125/sqft/pa Business Rates £36/sqft/pa (estimated for the year ending 2024) Lease type New For Rent £125/sqft/pa Business Rates £36/sqft/pa (estimated for the year ending 2024),https://www.cbre.co.uk/property-search/office-space/listings/details/GB-Plus-499148/7-swallow-place-london-w1b-2ag,Joe Gibbon,Georgina Willoughby,Joe Gibbon,Georgina Willoughby,joe.gibbon@cbre.com,Georgina.Willoughby@cbre.com,  7 Swallow Place  London W1B 2AG,For Rent
CBRE,Blandel Bridge House 56 Sloane Square  ,Blandel Bridge House 56 Sloane Square  London SW1W 8AX, SW1W 8AX,10,London,UK,Office,"Blandel Bridge House comprises of a selection of self contained office suites over four floors behind a period facade. We are currently marketing Suite 3, located on the 1st floor which provides an open plan space with the benefit of 24 hour access, comfort cooling, a kitchenette and an internal WC.",,265sqft,,£84.90/sqft/,"['Central Cooling', 'Kitchenette', '24/7 Access', 'Cat A Condition', 'Central Cooling', 'Kitchenette', '24/7 Access', 'Cat A Condition']",['https://www.cbre.co.uk/resources/fileassets/UK-GLDE-157401/a296240b/ee702b25-ee5e-4286-ad8f-6da82a248154_Photo_1_small.jpg'],Lease type New For Rent £84.90/sqft/ Business Rates £65.09/sqft/pa Lease type New For Rent £84.90/sqft/ Business Rates £65.09/sqft/pa,https://www.cbre.co.uk/property-search/office-space/listings/details/UK-GLDE-157401/blandel-bridge-house-56-sloane-square-london-sw1w-8ax,Nathalie Spink,Alex Rae,Nathalie Spink,Alex Rae,Nathalie.Spink@cbre.com,alexander.rae@cbre.com,Blandel Bridge House 56 Sloane Square  London SW1W 8AX,For Rent
CBRE,Queripel House 1a Duke Of York Square  ,Queripel House 1a Duke Of York Square  London SW3 4LY, SW3 4LY,11,London,UK,Office,"Queripel House forms part of the prestigious Duke of York Square scheme adjacent to the King’s Road. The property is situated to the west side of Duke of York Square with fantastic views over Cheltenham Terrace and the King’s Road. Duke of York Square is well known for its thriving restaurants including Vardo, Manicomio, Polpo, and Comptoir Libanais.  The attractive square, with its vibrant shops and cafes, is also home to the Saatchi Gallery, Soho Home, Partridges, Zara and benefits from easy access to Sloane Square Underground Station (Circle and District lines) and numerous bus services providing fast access to Victoria Station and the West End.",,"1,109sqft",,£77.50/sqft/pa,"['Perimeter Trunking', '24 Hour Access', '8 Person Lifts', 'B EPC', 'Perimeter Trunking', '24 Hour Access', '8 Person Lifts', 'B EPC']",['https://www.cbre.co.uk/resources/fileassets/GB-Plus-476509/a88a8e0c/40b6cf2e-de99-4bc5-a185-a1b39f7c645b_Photo_1_small.jpg'],Lease type New For Rent £77.50/sqft/pa Business Rates £31/sqft/pa (estimated for the year ending 2024) Service Charge £15/sqft/pa (estimated for the year ending 2024) Lease type New For Rent £77.50/sqft/pa Business Rates £31/sqft/pa (estimated for the year ending 2024) Service Charge £15/sqft/pa (estimated for the year ending 2024),https://www.cbre.co.uk/property-search/office-space/listings/details/GB-Plus-476509/queripel-house-1a-duke-of-york-square-london-sw3-4ly,Nathalie Spink,Alex Rae,Nathalie Spink,Alex Rae,Nathalie.Spink@cbre.com,alexander.rae@cbre.com,Queripel House 1a Duke Of York Square  London SW3 4LY,For Rent
CBRE,Sidney Smith Buildings 36/42 King's Road  ,Sidney Smith Buildings 36/42 King's Road  London SW3 4UD, SW3 4UD,12,London,UK,Office,36-42 King’s Road is a terraced building with offices above the shops. The entrance to the ground floor leads into a lobby area with a staircase to the rear leading to all floors and an accessible lift.,,117 to 985 sqft,,Price On Application,"['Plaster Ceiling', 'Wood Flooring', 'Lift', 'Feature Fireplace', 'Plaster Ceiling', 'Wood Flooring', 'Lift', 'Feature Fireplace']",['https://www.cbre.co.uk/resources/fileassets/UK-GLDE-159454/d291fcae/ae105376-c2c1-4c53-849a-d0c3aa2ddd48_Photo_1_small.jpg'],For Rent Price On Application For Rent Price On Application,https://www.cbre.co.uk/property-search/office-space/listings/details/UK-GLDE-159454/sidney-smith-buildings-3642-kings-road-london-sw3-4ud,Nathalie Spink,Alex Rae,Nathalie Spink,Alex Rae,Nathalie.Spink@cbre.com,alexander.rae@cbre.com,Sidney Smith Buildings 36/42 King's Road  London SW3 4UD,For Rent
CBRE,  10 Whitfield Street  ,  10 Whitfield Street  London W1T 2RE, W1T 2RE,14,London,UK,Office,"10 Whitfield Street offers creative Grade A office space in the heart of Fitzrovia, one of London’s most vibrant and sought-after locations. With a stylish, newly refurbished reception, the welcome experience has been significantly upgraded. The available space features newly fully fitted 1st floor accommodation, with the remainder being refurbished to Cat A.",,"4,356 to 9,252 sqft",,£89.50/sqft/pa,"['Under Floor Supply Air Conditioning', 'Raised Floors', 'LED Lighting', '2 x 8 person Lifts', '24 Hour Access', 'Bicycle Racks', 'Cat A and Cat A+  Fit Out', 'Under Floor Supply Air Conditioning', 'Raised Floors', 'LED Lighting', '2 x 8 person Lifts', '24 Hour Access', 'Bicycle Racks', 'Cat A and Cat A+  Fit Out']","['https://www.cbre.co.uk/resources/fileassets/GB-Plus-489176/22edd5a3/635eb99c-0902-413e-b714-a77d628e6dfe_Photo_1_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-489176/153bc73e/46f89d8a-af4e-48b6-8b3f-f7f23ba1a8bc_Photo_2_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-489176/1b08e760/21b6ef61-baf2-4be9-b975-433e15622b7d_Photo_3_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-489176/74600ab8/2e86c32d-bd3c-40e1-968d-2c4d96952121_Photo_4_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-489176/1e96884b/2abc43dd-12a7-4b9d-ba74-d9c9e13923e0_Photo_5_small.jpg']",Lease type New For Rent £89.50/sqft/pa Business Rates £22.50/sqft/pa (estimated for the year ending 2025) Service Charge £10.56/sqft/pa (estimated for the year ending 2024) Lease type New For Rent £89.50/sqft/pa Business Rates £22.50/sqft/pa (estimated for the year ending 2025) Service Charge £10.56/sqft/pa (estimated for the year ending 2024),https://www.cbre.co.uk/property-search/office-space/listings/details/GB-Plus-489176/10-whitfield-street-london-w1t-2re,Alex Kerr,Joe Gibbon,Alex Kerr,Joe Gibbon,Alex.Kerr@cbre.com,joe.gibbon@cbre.com,  10 Whitfield Street  London W1T 2RE,For Rent
CBRE,Nova South 130 Victoria Street  ,Nova South 130 Victoria Street  London SW1E 5LA, SW1E 5LA,15,London,UK,Office,"Contemporary fully fitted office space with a private terrace in a prime central Victoria location. Nova South currently offers 8,900 sq ft of fully fitted  and data enabled workspace on the part 9th floor. Perfect for a flexible working environment, the office benefits from premium furnishings, excellent natural light and stunning views from the private terrace. The space is available by way of a sub-lease, on a flexible lease term arrangement.",,"8,900sqft",,£87.50/sqft/pa,"['4-Pipe Fan Coil Air Conditioning', 'Raised Floors', '2.75m Floor To Ceiling Height', 'LED Lighting', '6 x 26 Person Lifts', '4 x 21 Person Lifts', '2 Fire Fighting Lifts', 'Terrace Private', 'Bicycle Racks', 'Showers', 'Lockers', 'Platinum WiredScore', '4-Pipe Fan Coil Air Conditioning', 'Raised Floors', '2.75m Floor To Ceiling Height', 'LED Lighting', '6 x 26 Person Lifts', '4 x 21 Person Lifts', '2 Fire Fighting Lifts', 'Terrace Private', 'Bicycle Racks', 'Showers', 'Lockers', 'Platinum WiredScore']","['https://www.cbre.co.uk/resources/fileassets/GB-Plus-507154/e9a86480/81990b4e-f36c-43c6-a57e-b44bb0b25ff2_Photo_1_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-507154/2bf4b934/9cf032af-44df-4628-8070-98e4652400c3_Photo_2_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-507154/18b640e8/670b7b0f-6bc2-4e76-8642-7a6fc38c70f9_Photo_3_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-507154/c2fbf02a/513dbc34-c12c-4ee5-9f0d-cab0efea056f_Photo_4_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-507154/1f995d17/766b763a-e322-447e-8ab2-5c0a5be3500a_Photo_5_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-507154/98119901/67520fba-f8f5-4c50-9660-3db949281150_Photo_6_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-507154/3db996f8/98ce449f-abac-48ef-8cac-09d7bb750f02_Photo_7_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-507154/4e815e0f/f0ae1ba2-1132-479a-b16d-74ef04ac681d_Photo_8_small.jpg', 'https://www.cbre.co.uk/resources/fileassets/GB-Plus-507154/3e8e8e9e/367ffff6-affc-4a54-835d-be61d17b4659_Photo_9_small.jpg']",Lease type Sublease For Rent £87.50/sqft/pa Lease type Sublease For Rent £87.50/sqft/pa,https://www.cbre.co.uk/property-search/office-space/listings/details/GB-Plus-507154/nova-south-130-victoria-street-london-sw1e-5la,Georgina Willoughby,,Georgina Willoughby,,Georgina.Willoughby@cbre.com,,Nova South 130 Victoria Street  London SW1E 5LA,For Rent
